Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,PIT -> LGA,631,-29.0,960.0,19.86,0.0412,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PIT -> MSP,236,-15.0,924.0,7.69,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,PNS -> ATL,34,-9.0,1008.0,46.76,0.0,"1,12,2,3"
9E,PVD -> LGA,410,-18.0,1152.0,13.83,0.0293,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PWM -> JFK,305,-15.0,1123.0,31.25,0.0328,"1,12,2,3,4,5,6,7,8,9"
9E,RDU -> AUS,141,-13.0,118.0,5.26,0.0071,"1,2,3,4"
9E,RDU -> EWR,824,-15.0,421.0,16.08,0.0376,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> JFK,1688,-19.0,950.0,14.09,0.035,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> LGA,2059,-19.0,1042.0,14.91,0.0316,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> MSP,11,-14.0,52.0,-0.36,0.0,"1,2,3,4"
9E,RDU -> TLH,1,-2.0,-2.0,-2.0,0.0,11
9E,RIC -> LGA,976,-22.0,792.0,10.56,0.0338,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ROC -> DTW,856,-21.0,904.0,8.99,0.0093,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ROC -> LGA,941,-24.0,1046.0,7.26,0.0393,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SAV -> LGA,896,-17.0,923.0,10.69,0.0391,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SAV -> MSP,29,-10.0,166.0,25.1,0.0,"11,12"
9E,SBN -> ATL,2,-8.0,16.0,4.0,0.0,"1,11"
9E,SDF -> LGA,23,-18.0,153.0,3.68,0.0435,"12,5,6"
9E,SDF -> MSP,78,-12.0,544.0,18.92,0.0256,"1,12,5,6,7,8,9"
9E,STL -> DTW,90,-20.0,230.0,-0.27,0.0,"1,3,4,5"
9E,SYR -> JFK,816,-18.0,645.0,5.48,0.0429,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SYR -> LGA,550,-17.0,347.0,2.98,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SYR -> MSP,121,-15.0,318.0,1.19,0.0165,"5,6,7,8,9"
9E,TLH -> RDU,1,0.0,0.0,0.0,0.0,11
9E,TLH -> SBN,1,-5.0,-5.0,-5.0,0.0,11
9E,TRI -> ATL,1131,-28.0,684.0,3.54,0.0071,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,TUL -> LGA,110,-18.0,105.0,3.66,0.0,"10,11,12,9"
9E,TVC -> DTW,141,-25.0,351.0,8.92,0.0071,"1,11,4,5,6,7,8,9"
9E,TVC -> LGA,72,-17.0,1143.0,14.07,0.0139,"5,6,7,8,9"
9E,TYS -> LGA,941,-19.0,783.0,2.24,0.0351,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,TYS -> MSP,202,-13.0,239.0,0.57,0.0149,"10,11,12,6,7,8,9"
9E,TYS -> XNA,1,-9.0,-9.0,-9.0,0.0,10
9E,VLD -> ATL,721,-18.0,404.0,8.7,0.0236,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,XNA -> AUS,1,-9.0,-9.0,-9.0,0.0,11
9E,XNA -> DTW,42,-13.0,97.0,0.33,0.0,"11,12"
9E,XNA -> MSP,431,-19.0,255.0,5.83,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,XNA -> TYS,1,-9.0,-9.0,-9.0,0.0,10
AA,ABQ -> AUS,2,-9.0,80.0,35.5,0.0,10
AA,AGS -> CLT,5,-3.0,121.0,34.2,0.0,4
AA,AGS -> DFW,16,-10.0,190.0,39.0,0.0,4
AA,AGS -> PHX,2,-6.0,50.0,22.0,0.0,4
AA,AMA -> DFW,205,-19.0,980.0,22.63,0.0244,"1,10,11,12,2"
AA,ANC -> DFW,381,-11.0,2225.0,35.39,0.0052,"1,10,11,12,3,4,5,6,7,8,9"
AA,ANC -> ORD,121,-12.0,1373.0,36.12,0.0,"5,6,7,8,9"
