Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,PNS -> ATL,68,-9.0,1008.0,46.76,0.0,"1,12,2,3"
9E,PVD -> LGA,820,-18.0,1152.0,13.83,0.0293,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PWM -> JFK,610,-15.0,1123.0,31.25,0.0328,"1,12,2,3,4,5,6,7,8,9"
9E,RDU -> AUS,282,-13.0,118.0,5.26,0.0071,"1,2,3,4"
9E,RDU -> EWR,1648,-15.0,421.0,16.08,0.0376,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> JFK,3376,-19.0,950.0,14.09,0.035,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> LGA,4118,-19.0,1042.0,14.91,0.0316,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,RDU -> MSP,22,-14.0,52.0,-0.36,0.0,"1,2,3,4"
9E,RDU -> TLH,2,-2.0,-2.0,-2.0,0.0,11
9E,RIC -> LGA,1952,-22.0,792.0,10.56,0.0338,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ROC -> DTW,1712,-21.0,904.0,8.99,0.0093,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ROC -> LGA,1882,-24.0,1046.0,7.26,0.0393,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SAV -> LGA,1792,-17.0,923.0,10.69,0.0391,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SAV -> MSP,58,-10.0,166.0,25.1,0.0,"11,12"
9E,SBN -> ATL,4,-8.0,16.0,4.0,0.0,"1,11"
9E,SDF -> LGA,46,-18.0,153.0,3.68,0.0435,"12,5,6"
9E,SDF -> MSP,156,-12.0,544.0,18.92,0.0256,"1,12,5,6,7,8,9"
9E,STL -> DTW,180,-20.0,230.0,-0.27,0.0,"1,3,4,5"
9E,SYR -> JFK,1632,-18.0,645.0,5.48,0.0429,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SYR -> LGA,1100,-17.0,347.0,2.98,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,SYR -> MSP,242,-15.0,318.0,1.19,0.0165,"5,6,7,8,9"
9E,TLH -> RDU,2,0.0,0.0,0.0,0.0,11
9E,TLH -> SBN,2,-5.0,-5.0,-5.0,0.0,11
9E,TRI -> ATL,2262,-28.0,684.0,3.54,0.0071,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,TUL -> LGA,220,-18.0,105.0,3.66,0.0,"10,11,12,9"
