Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,RIC -> LGA,520,-20.0,412.0,9.21,0.0269,"1,2,3,4,5,6,7"
9E,ROC -> DTW,419,-21.0,540.0,10.03,0.0095,"1,2,3,4,5,6,7"
9E,ROC -> LGA,474,-24.0,288.0,7.43,0.0359,"1,2,3,4,5,6,7"
9E,SAV -> LGA,472,-15.0,351.0,9.38,0.0318,"1,2,3,4,5,6,7"
9E,SBN -> ATL,1,16.0,16.0,16.0,0.0,1
9E,SDF -> LGA,5,-11.0,-4.0,-7.25,0.2,"5,6"
9E,SDF -> MSP,27,-10.0,544.0,30.93,0.0,"1,5,6"
9E,STL -> DTW,90,-20.0,230.0,-0.27,0.0,"1,3,4,5"
9E,SYR -> JFK,393,-14.0,449.0,4.8,0.0356,"1,2,3,4,5,6,7"
9E,SYR -> LGA,325,-17.0,319.0,5.09,0.0123,"1,2,3,4,5,6,7"
9E,SYR -> MSP,52,-15.0,14.0,-4.56,0.0,"5,6,7"
9E,TRI -> ATL,518,-24.0,233.0,0.39,0.0058,"1,2,3,4,5,6,7"
9E,TVC -> DTW,75,-25.0,126.0,2.03,0.0,"1,4,5,6,7"
9E,TVC -> LGA,31,-16.0,1143.0,33.77,0.0323,"5,6"
9E,TYS -> LGA,468,-18.0,177.0,1.7,0.0278,"1,2,3,4,5,6,7"
9E,TYS -> MSP,25,-13.0,44.0,-1.76,0.0,"6,7"
9E,VLD -> ATL,308,-14.0,404.0,7.58,0.0032,"1,2,3,4,5,6,7"
9E,XNA -> MSP,161,-16.0,142.0,4.13,0.0,"1,2,3,4,5,6,7"
AA,AGS -> CLT,5,-3.0,121.0,34.2,0.0,4
AA,AGS -> DFW,16,-10.0,190.0,39.0,0.0,4
AA,AGS -> PHX,2,-6.0,50.0,22.0,0.0,4
AA,AMA -> DFW,126,-19.0,980.0,20.86,0.0317,"1,2"
AA,ANC -> DFW,149,-11.0,1359.0,37.98,0.0134,"1,3,4,5,6,7"
AA,ANC -> ORD,58,-12.0,78.0,15.36,0.0,"5,6,7"
AA,ATL -> DCA,32,-11.0,247.0,26.47,0.0,"3,6,7"
